restaurant_id,name,email,phone,address,city,coordinate,password
19,Crumble Crew Cafe,crumblecrewcafe@gmail.com,+62 852-7777-5678,"Jl. Imam Bonjol No.12, Sekayu, Semarang Tengah",3374,"-6.9854503, 110.4180897",JHV7EY9fe$
20,Cafe Lentera,cafelentera@gmail.com,+62 857-8888-4321,"Jl. Taman Srigunting No.28, Pleburan, Semarang Timur",3374,"-6.9714829, 110.6588575",+(MWW5R2ko
21,Hummingbird Cafe,hummingbirdcafe@gmail.com,+62 821-9999-8765,"Jl. Sisingamangaraja No.4, Peterongan, Semarang Selatan",3374,"-7.0051869, 110.4116341",@5Ye(K9uA8
22,Sweet and Sour Cafe,sweetandsourcafe@gmail.com,+62 877-7777-6543,"Jl. Simpang Lima No.10, Gajahmungkur, Semarang Barat",3374,"-6.9943279, 110.4139927",QJbJzGRo^4
23,The Harvest,theharvest@gmail.com,+62 81234567,"Jl. Raya Salatiga KM 8, Bandungan, Semarang 50774",3322,"-7.238869, 110.421325",04SSa8jd!A
24,Kampung Lautan,kampunglautan@gmail.com,+62 82345678,"Jl. Raya Kopeng No.12, Batur, Semarang 50682",3322,"-7.249933, 110.435796",*63!CFOw6+
25,Warung Leko,warungleko@gmail.com,+62 31 5034884,"Jl. Tidar No. 7, Sawahan",3578,"-7.2638077, 112.7403651",A%0(1Q1eSp
26,Depot Bu Rudy,depoburudy@yahoo.com,+62 31 7347818,"Jl. Walikota Mustajab No. 36, Ketabang",3578,"-7.2588328, 112.7486555",GVu04PuoN_
27,Bebek Tepi Sawah,bebektepisawah@gmail.com,+62 31 7317676,"Jl. Raya Puncak Menara No. 60-62, Dukuh Pakis",3578,"-7.2969065, 112.6989657",!j8Adph69O
28,Domicile Kitchen,domicilekitchen@gmail.com,+62 31 5625551,"Jl. Sumatra No. 37A, Gubeng",3578,"-7.2766283, 112.7372915",W6+2#QyNZj
29,Rujak Cingur Uleg,rujakcinguruleg@gmail.com,+62 31 5353941,"Jl. Raya Kalirungkut No. 1, Kalirungkut",3578,"-7.2807781, 112.7461025",e0+d4Zmv)(
30,Warung Makan Bu Putu,warungbuputu@gmail.com,+62 31 5353942,"Jl. Diponegoro No. 45A, Dauh Puri Kauh",5171,"-8.664449, 115.225712",(O(Nqsgd*9
31,Bebek Tepi Pantai,bebektepipantai@gmail.com,+62 31 5353943,"Jl. Raya Goa Gajah No. 1, Peliatan",5171,"-8.489345, 115.277225",wzA2shca$7
32,Dapur Sanur,dapursanur@gmail.com,+62 81234567,"Jl. By Pass Ngurah Rai No. 274, Sanur",5171,"-8.697648, 115.248348",QJbJzGRo^3
33,Warung Babi Guling Pak Dobiel,pakdobiel@gmail.com,+62 81234568,"Jl. Teuku Umar Barat No. 123, Denpasar",5171,"-8.662031, 115.200168",04SSa8ud!A
34,Pempek Candy,pempekcandy@gmail.com,+62 81234569,"Jl. Hayam Wuruk No. 111, Padangsambian",5171,"-8.674266, 115.195422",*63!CtOw6+
