user_id,username,first_name,last_name,email,phone_number,address,city_id,coordinate,password
25,raharja13,Raharja,Agustina,raharjaagustina@gmail.com,+62 (64) 230-0690,"Jl. Kolonel Sugiono, Tlogosari Kulon, Pedurungan",3322,"-7.0124618, 110.3972823",2X_XOAFE_b
26,dewi18,Dewi,Suartini,dewisuartini@hotmail.com,+62 (10) 714-4393,"Jl. Urip Sumoharjo No.19, Pedalangan, Banyumanik",3322,"-7.0099211, 110.3937077",@8NGyj7B)8
27,zalindra16,Zalindra,Wibowo,zalindrawibowo@yahoo.com,852516680,"Jl. MT Haryono No.847, Mlatiharjo, Semarang Timur",3322,"-7.0258363, 110.4374605",Jcw6eTzrg%
28,wage3,Wage,Hutasoit,wagehutasoit@gmail.com,+62 (07) 875 5038,"Jl. Gajah Mada No.45, Sekayu, Semarang Tengah",3374,"-6.9834716, 110.4171783",GmB)lJqe(7
29,rosman22,Rosman,Salahudin,rosmansalahudin@gmail.com,085 125 2383,"Jl. Kertanegara No.51, Candisari, Semarang Barat",3374,"-7.0160403, 110.3787575",!E^fH!eq+2
30,joko9,Joko,Anggriawan,jokoanggriawan@yahoo.com,(0964) 072-6859,"Jl. Ahmad Yani No.437, Banyumanik, Semarang Selatan",3374,"-7.0170171, 110.4038082",&6U0_NRtK(
31,makuta23,Makuta,Hastuti,makutahastuti@gmail.com,(026) 262 8962,"Jl. Rungkut Tengah I No. 2, Rungkut, Surabaya",3578,"-7.296331, 112.752919",)2OqndSpLO
32,vanesa20,Vanesa,Latupono,vanesalatupono@yahoo.com,+62 (0249) 786 4028,"Jl. Mulyorejo Timur II No. 50, Mulyorejo, Surabaya",3578,"-7.304392, 112.726738",gAv&W%qm(0
33,gatra23,Gatra,Zulkarnain,gatrazulkarnain@hotmail.com,805982873,"Jl. Medokan Asri Utara II No. 5, Medokan Ayu",3578,"-7.272498, 112.708802",(N2OpC7Ux8
34,azalea25,Azalea,Wacana,azaleawacana@gmail.com,(0964) 072-6259,"Jl. Tidar No. 2, Tidar, Surabaya",3578,"-7.269422, 112.735808",$x@kMbQkf9
35,dartono17,Dartono,Yolanda,dartonoyolanda@yahoo.com,+62 (09) 779 1502,"Jl. Kenjeran No. 19, Kenjeran, Surabaya",3578,"-7.211663, 112.728450",(B+vd1Rs!r
36,setya20,Setya,Nurdiyanti,setyanurdiyanti@yahoo.com,+62 (883) 771-3719,"Jl. Nginden Semolo No. 14, Nginden, Surabaya",3578,"-7.250033, 112.746518",(V0fIdNeY5
37,jasmani23,Jasmani,Marbun,jasmanimarbun@yahoo.com,+62 (0735) 307-2320,"Jl. Kupang Indah XIV No. 8, Kupang, Surabaya",3578,"-7.269645, 112.738181",$7Zau#@Xoq
38,cawisadi12,Cawisadi,Mayasari,cawisadimayasari@yahoo.com,+62 (19) 259-3410,"Jl. Puri Widya Kencana, Puri, Surabaya",3578,"-7.306785, 112.657290",1_pDlXxW%z
39,balijan6,Balijan,Marpaung,balijanmarpaung@gmail.com,(0747) 220 8720,"Jl. Sedap Malam Timur No. 17, Sukolilo, Surabaya",3578,"-7.290784, 112.649033",VL@57hJtL*
40,bambang3,Bambang,Mansur,bambangmansur@gmail.com,(0747) 220 8710,"Jl. Sambit Kidul IV No. 8, Sambikerep, Surabaya",3578,"-7.311992, 112.696924",#g1TTRcvVi
41,fitria23,Fitria,Haryanti,fitriaharyanti@gmail.com,+62 (024) 563 4707,"Jalan Tukad Batanghari Gang VI No. 11, Renon",5171,"-8.674576, 115.228382",H(a5ZCkIMy
42,ivan19,Ivan,Hutagalung,ivanhutagalung@hotmail.com,+62 (0355) 805 4274,"Jalan Pulau Galang Gg III No. 8, Padangsambian",5171,"-8.700763, 115.182980",GOBzaqC5^0
43,tari30,Tari,Widiastuti,tariwidiastuti@hotmail.com,+62 (077) 958 9239,"Jalan Gunung Agung No. 18, Padang Sambian",5171,"-8.683489, 115.174387",2a4Tb9irM%
44,ajeng11,Ajeng,Latupono,ajenglatupono@gmail.com,(0908) 258 9407,"Jalan Tukad Badung No. 1, Renon",5171,"-8.670476, 115.231849",^jT)L9DmdM
45,pia10,Pia,Wasita,piawasita@yahoo.com,(027) 935-9872,"Jalan Gunung Agung No. 57, Padangsambian",5171,"-8.685255, 115.178204",gxXaldS^&1
46,drajat7,Drajat,Prastuti,drajatprastuti@gmail.com,+62 (0494) 782 8635,"Jalan Tukad Barito No. 12, Renon",5171,"-8.670236, 115.227138",)^Hxc4cwQ6
47,ulya30,Ulya,Waskita,ulyawaskita@hotmail.com,(0754) 464 0598,"Jalan Tukad Yeh Aya Gang Melati No. 9, Renon",5171,"-8.682834, 115.225912",&61OYbBC#s
48,pranawa27,Pranawa,Dongoran,pranawadongoran@yahoo.com,(0303) 731-2670,"Jalan Gunung Soputan No. 9, Padangsambian",5171,"-8.690847, 115.184436",$x3gICoq^9
49,elma3,Elma,Haryanto,elmaharyanto@hotmail.com,+62 (320) 745 1582,"Jalan Gunung Soputan No. 25, Padangsambian",5171,"-8.691411, 115.184317",qcoQNLX@_2
50,jaswadi29,Jaswadi,Hastuti,jaswadihastuti@hotmail.com,+62 (035) 485 3296,"Jalan Tukad Citarum No. 11, Renon",5171,"-8.673100, 115.228212",(2TVtC7lyk
